    private key           bits zeros    bits ones

                 1             0           1
                 3             0           2
                 7             0           3
                 8             3           1
                15             3           2
                31             3           3
                4c             4           3
                e0             5           3
               1d3             3           6
               202             8           2
               483             7           4
               a7b             4           8
              1460             9           4
              2930             9           5
              68f3             6           9
              c936             8           8
             1764f             6          11
             3080d            12           6
             5749f             7          12
             d2c55            10          10
            1ba534            10          11
            2de40f            10          12
            556e52            11          12
            dc2a04            15           9
           1fa5ee5             8          17
           340326e            15          11
           6ac3875            13          14
           d916ce8            14          14
          17e2551e            13          16
          3d94cd64            14          16
          7d4fe747            10          21
          b862a62e            17          15
         1a96ca8d8            17          16
         34a65911d            18          16
         4aed21170            20          15
         9de820a7c            19          17
        1757756a93            15          22
        22382facd0            21          17
        4b5f8303e9            19          20
        e9ae4933d6            18          22
       153869acc5b            20          21
       2a221c58d8f            23          19
       6bd3b27c591            19          24
       e02b35a358f            22          22
      122fca143c05            26          19
      2ec18388d544            27          19
      6cd610b53cba            23          24
      ade6d7ce3b9b            17          31
     174176b015f4d            24          25
     22bd43c2e9354            26          24
     75070a1a009d4            32          19
     efae164cb9e3c            22          30
    180788e47e326c            29          24
    236fb6d5ad1f43            22          32
    6abe1f9b67e114            24          31
    9d18b63ac4ffdf            22          34
   1eb25c90795d61c            28          29
   2c675b852189a21            33          25
   7496cbb87cab44f            26          33
   fc07a1825367bbe            28          32
  13c96a3742f64906            32          29
  363d541eb611abee            28          34
  7cce5efdaccf6808            27          36
  f7051f27b09112d4            34          30
 1a838b13505b26867            36          29
